year,district,species_name_raw,species_key,landing_qty_tonnes
2023-24,KLM,Other Hilsa,,3.0
2023-24,ALP,Other Hilsa,,2.0
2023-24,EKM,Other Hilsa,,31.0
2023-24,TCR,Other Hilsa,,31.0
2023-24,MLPM,Other Hilsa,,0.0
2023-24,KKD,Other Hilsa,,220.0
2023-24,KNR,Other Hilsa,,99.0
2023-24,KSD,Other Hilsa,,63.0
2023-24,TVPM,Anchovies,anchovy,11165.0
2023-24,KLM,Anchovies,anchovy,12327.0
2023-24,ALP,Anchovies,anchovy,632.0
2023-24,EKM,Anchovies,anchovy,4146.0
2023-24,TCR,Anchovies,anchovy,711.0
2023-24,MLPM,Anchovies,anchovy,663.0
2023-24,KKD,Anchovies,anchovy,5468.0
2023-24,KNR,Anchovies,anchovy,415.0
2023-24,KSD,Anchovies,anchovy,58.0
2023-24,TVPM,Trisocles,,103.0
2023-24,KLM,Trisocles,,267.0
2023-24,ALP,Trisocles,,59.0
2023-24,EKM,Trisocles,,700.0
2023-24,TCR,Trisocles,,48.0
2023-24,MLPM,Trisocles,,781.0
2023-24,KKD,Trisocles,,423.0
2023-24,KNR,Trisocles,,287.0
2023-24,KSD,Trisocles,,101.0
2023-24,TVPM,Other Clupeids,,455.0
2023-24,KLM,Other Clupeids,,550.0
2023-24,ALP,Other Clupeids,,155.0
2023-24,EKM,Other Clupeids,,348.0
2023-24,TCR,Other Clupeids,,282.0
2023-24,MLPM,Other Clupeids,,31.0
2023-24,KKD,Other Clupeids,,565.0
2023-24,KNR,Other Clupeids,,375.0
2023-24,KSD,Other Clupeids,,125.0
2023-24,TVPM,Harpodon Nehereus,,0.0
2023-24,KLM,Harpodon Nehereus,,0.0
2023-24,ALP,Harpodon Nehereus,,0.0
2023-24,EKM,Harpodon Nehereus,,0.0
2023-24,TCR,Harpodon Nehereus,,0.0
2023-24,MLPM,Harpodon Nehereus,,0.0
2023-24,KKD,Harpodon Nehereus,,0.0
2023-24,KNR,Harpodon Nehereus,,0.0
2023-24,KSD,Harpodon Nehereus,,0.0
2023-24,TVPM,Saurida & Saurus,,337.0
2023-24,KLM,Saurida & Saurus,,2963.0
2023-24,ALP,Saurida & Saurus,,1.0
2023-24,EKM,Saurida & Saurus,,3877.0
2023-24,TCR,Saurida & Saurus,,16.0
2023-24,MLPM,Saurida & Saurus,,401.0
2023-24,KKD,Saurida & Saurus,,1122.0
2023-24,KNR,Saurida & Saurus,,25.0
2023-24,KSD,Saurida & Saurus,,6.0
2023-24,TVPM,Hemirhamphus & Belone,,180.0
2023-24,KLM,Hemirhamphus & Belone,,125.0
2023-24,ALP,Hemirhamphus & Belone,,5.0
2023-24,EKM,Hemirhamphus & Belone,,158.0
2023-24,TCR,Hemirhamphus & Belone,,6.0
2023-24,MLPM,Hemirhamphus & Belone,,17.0
2023-24,KKD,Hemirhamphus & Belone,,101.0
2023-24,KNR,Hemirhamphus & Belone,,40.0
2023-24,KSD,Hemirhamphus & Belone,,1.0
2023-24,TVPM,Flying Fish,flying_fish,0.0
2023-24,KLM,Flying Fish,flying_fish,0.0
2023-24,ALP,Flying Fish,flying_fish,0.0
2023-24,EKM,Flying Fish,flying_fish,12.0
2023-24,TCR,Flying Fish,flying_fish,0.0
2023-24,MLPM,Flying Fish,flying_fish,0.0
2023-24,KKD,Flying Fish,flying_fish,50.0
2023-24,KNR,Flying Fish,flying_fish,0.0
2023-24,KSD,Flying Fish,flying_fish,0.0
2023-24,TVPM,Perches,perches,2047.0
2023-24,KLM,Perches,perches,9825.0
2023-24,ALP,Perches,perches,709.0
2023-24,EKM,Perches,perches,28946.0
2023-24,TCR,Perches,perches,327.0
2023-24,MLPM,Perches,perches,2770.0
2023-24,KKD,Perches,perches,12304.0
2023-24,KNR,Perches,perches,347.0
2023-24,KSD,Perches,perches,158.0
2023-24,TVPM,Goatfishes,,43.0
2023-24,KLM,Goatfishes,,20.0
2023-24,ALP,Goatfishes,,0.0
2023-24,EKM,Goatfishes,,67.0
2023-24,TCR,Goatfishes,,1.0
2023-24,MLPM,Goatfishes,,0.0
2023-24,KKD,Goatfishes,,4.0
2023-24,KNR,Goatfishes,,0.0
2023-24,KSD,Goatfishes,,0.0
2023-24,TVPM,Polynemids,,0.0
2023-24,KLM,Polynemids,,0.0
2023-24,ALP,Polynemids,,0.0
2023-24,EKM,Polynemids,,1.0
2023-24,TCR,Polynemids,,1.0
2023-24,MLPM,Polynemids,,0.0
2023-24,KKD,Polynemids,,2.0
2023-24,KNR,Polynemids,,4.0
2023-24,KSD,Polynemids,,0.0
2023-24,TVPM,Sciaenids,,539.0
2023-24,KLM,Sciaenids,,389.0
2023-24,ALP,Sciaenids,,67.0
2023-24,EKM,Sciaenids,,811.0
2023-24,TCR,Sciaenids,,145.0
2023-24,MLPM,Sciaenids,,676.0
2023-24,KKD,Sciaenids,,327.0
2023-24,KNR,Sciaenids,,235.0
2023-24,KSD,Sciaenids,,175.0
2023-24,TVPM,Ribbon Fish,ribbon_fish,4707.0
2023-24,KLM,Ribbon Fish,ribbon_fish,2411.0
2023-24,ALP,Ribbon Fish,ribbon_fish,19.0
2023-24,EKM,Ribbon Fish,ribbon_fish,11095.0
2023-24,TCR,Ribbon Fish,ribbon_fish,2.0
2023-24,MLPM,Ribbon Fish,ribbon_fish,483.0
2023-24,KKD,Ribbon Fish,ribbon_fish,5260.0
2023-24,KNR,Ribbon Fish,ribbon_fish,363.0
2023-24,KSD,Ribbon Fish,ribbon_fish,25.0
2023-24,TVPM,Caranx,,568.0
2023-24,KLM,Caranx,,80.0
2023-24,ALP,Caranx,,17.0
2023-24,EKM,Caranx,,381.0
2023-24,TCR,Caranx,,3.0
2023-24,MLPM,Caranx,,1.0
2023-24,KKD,Caranx,,23.0
2023-24,KNR,Caranx,,13.0
2023-24,KSD,Caranx,,8.0
2023-24,TVPM,Chorinemus,,53.0
